ADR-XETR,LUK
ADR-XNAS,BIDU
ADR-XNAS,CTRP
ADR-XNAS,JD
ADR-XNAS,NTES
ADR-XNAS,SHPG
ADR-XNAS,VOD
EXCHANGETRADEDFUND-XTSE,HCN
PREFERREDSTOCK-XNAS,FOXA
PREFERREDSTOCK-XNAS,GOOG
PREFERREDSTOCK-XNAS,LBTYK
PREFERREDSTOCK-XNYS,ALLE
PREFERREDSTOCK-XNYS,BF.B
PREFERREDSTOCK-XNYS,CBS
PREFERREDSTOCK-XNYS,MKC
PREFERREDSTOCK-XNYS,UA
STOCK-XLON,WYN
STOCK-XNAS,AAL
STOCK-XNAS,AAPL
STOCK-XNAS,ABMD
STOCK-XNAS,ADBE
STOCK-XNAS,ADI
STOCK-XNAS,ADP
STOCK-XNAS,ADSK
STOCK-XNAS,AKAM
STOCK-XNAS,ALGN
STOCK-XNAS,ALXN
STOCK-XNAS,AMAT
STOCK-XNAS,AMD
STOCK-XNAS,AMGN
STOCK-XNAS,AMZN
STOCK-XNAS,ANSS
STOCK-XNAS,ASML
STOCK-XNAS,ATVI
STOCK-XNAS,AVGO
STOCK-XNAS,BBBY
STOCK-XNAS,BHF
STOCK-XNAS,BIIB
STOCK-XNAS,BKNG
STOCK-XNAS,BMRN
STOCK-XNAS,CA
STOCK-XNAS,CAR
STOCK-XNAS,CBOE
STOCK-XNAS,CDNS
STOCK-XNAS,CELG
STOCK-XNAS,CERN
STOCK-XNAS,CHKP
STOCK-XNAS,CHRW
STOCK-XNAS,CHTR
STOCK-XNAS,CINF
STOCK-XNAS,CMCSA
STOCK-XNAS,CME
STOCK-XNAS,COST
STOCK-XNAS,CSCO
STOCK-XNAS,CSX
STOCK-XNAS,CTAS
STOCK-XNAS,CTSH
STOCK-XNAS,CTXS
STOCK-XNAS,DISCA
STOCK-XNAS,DISCK
STOCK-XNAS,DISH
STOCK-XNAS,DLTR
STOCK-XNAS,EA
STOCK-XNAS,EBAY
STOCK-XNAS,ENDP
STOCK-XNAS,EQIX
STOCK-XNAS,ESRX
STOCK-XNAS,ETFC
STOCK-XNAS,EXPD
STOCK-XNAS,EXPE
STOCK-XNAS,FAST
STOCK-XNAS,FB
STOCK-XNAS,FFIV
STOCK-XNAS,FISV
STOCK-XNAS,FITB
STOCK-XNAS,FLIR
STOCK-XNAS,FOX
STOCK-XNAS,FSLR
STOCK-XNAS,FTR
STOCK-XNAS,GILD
STOCK-XNAS,GOOGL
STOCK-XNAS,GRMN
STOCK-XNAS,GT
STOCK-XNAS,HAS
STOCK-XNAS,HBAN
STOCK-XNAS,HOLX
STOCK-XNAS,HSIC
STOCK-XNAS,IDXX
STOCK-XNAS,ILMN
STOCK-XNAS,INCY
STOCK-XNAS,INFO
STOCK-XNAS,INTC
STOCK-XNAS,INTU
STOCK-XNAS,IPGP
STOCK-XNAS,ISRG
STOCK-XNAS,JBHT
STOCK-XNAS,JBLU
STOCK-XNAS,KHC
STOCK-XNAS,KLAC
STOCK-XNAS,LBTYA
STOCK-XNAS,LILA
STOCK-XNAS,LILAK
STOCK-XNAS,LKQ
STOCK-XNAS,LRCX
STOCK-XNAS,LSTR
STOCK-XNAS,MAR
STOCK-XNAS,MAT
STOCK-XNAS,MCHP
STOCK-XNAS,MDLZ
STOCK-XNAS,MELI
STOCK-XNAS,MNST
STOCK-XNAS,MSFT
STOCK-XNAS,MU
STOCK-XNAS,MXIM
STOCK-XNAS,MYL
STOCK-XNAS,NAVI
STOCK-XNAS,NDAQ
STOCK-XNAS,NFLX
STOCK-XNAS,NKTR
STOCK-XNAS,NTAP
STOCK-XNAS,NTRS
STOCK-XNAS,NVDA
STOCK-XNAS,NWS
STOCK-XNAS,NWSA
STOCK-XNAS,NXPI
STOCK-XNAS,ORLY
STOCK-XNAS,PAYX
STOCK-XNAS,PBCT
STOCK-XNAS,PCAR
STOCK-XNAS,PDCO
STOCK-XNAS,PEP
STOCK-XNAS,PFG
STOCK-XNAS,PYPL
STOCK-XNAS,QCOM
STOCK-XNAS,QRTEA
STOCK-XNAS,QRVO
STOCK-XNAS,REGN
STOCK-XNAS,ROST
STOCK-XNAS,SBAC
STOCK-XNAS,SBUX
STOCK-XNAS,SIRI
STOCK-XNAS,SIVB
STOCK-XNAS,SNPS
STOCK-XNAS,SRCL
STOCK-XNAS,STX
STOCK-XNAS,SWKS
STOCK-XNAS,SYMC
STOCK-XNAS,TMUS
STOCK-XNAS,TRIP
STOCK-XNAS,TROW
